Model,Area,algorithm,Accuracy,Precision,Recall,F1-Score
CienciasAgrarias_gaussian_nb_comp.pkl,CIENCIAS AGRARIAS,GaussianNB,0.5227188769855929,0.6605003724891991,0.5227188769855929,0.515687005986632
CienciasBiologicas_gaussian_nb_comp.pkl,CIENCIAS BIOLOGICAS,GaussianNB,0.4693651233712226,0.6361061047444778,0.4693651233712226,0.47328597387448906
CienciasDaSaude_gaussian_nb_comp.pkl,CIENCIAS DA SAUDE,GaussianNB,0.4515905348010748,0.6218382776668118,0.4515905348010748,0.4511314247109792
CienciasExatasDaTerra_gaussian_nb_comp.pkl,CIENCIAS EXATAS E DA TERRA,GaussianNB,0.5316827528325639,0.670310514507934,0.5316827528325639,0.5453076953951687
CienciasHumanas_gaussian_nb_comp.pkl,CIENCIAS HUMANAS,GaussianNB,0.48767885532591415,0.5900014669730924,0.48767885532591415,0.47824459487404714
CienciasSociaisAplicadas_gaussian_nb_comp.pkl,CIENCIAS SOCIAIS APLICADAS,GaussianNB,0.46486605182257357,0.630639779580544,0.46486605182257357,0.4630747845699083
Engenharias_gaussian_nb_comp.pkl,ENGENHARIAS,GaussianNB,0.4646550675264631,0.6248060612972035,0.4646550675264631,0.4821180123345587
LinguisticaLetrasArtes_gaussian_nb_comp.pkl,LINGUISTICA. LETRAS E ARTES,GaussianNB,0.5652322404371585,0.6836351039869043,0.5652322404371585,0.5325894710479442
Multidisciplinar_gaussian_nb_comp.pkl,MULTIDISCIPLINAR,GaussianNB,0.5707660916342051,0.7021501693343271,0.5707660916342051,0.5528642061693431
CienciasAgrarias_logistic_regression_comp.pkl,CIENCIAS AGRARIAS,Logistic Regression,0.6582933136313261,0.7940305413104467,0.6582933136313261,0.680339677638557
CienciasBiologicas_logistic_regression_comp.pkl,CIENCIAS BIOLOGICAS,Logistic Regression,0.6321042417521486,0.816365460650564,0.6321042417521486,0.6792714429683578
CienciasDaSaude_logistic_regression_comp.pkl,CIENCIAS DA SAUDE,Logistic Regression,0.609343850221028,0.7750221145687285,0.609343850221028,0.6448824088170579
CienciasExatasDaTerra_logistic_regression_comp.pkl,CIENCIAS EXATAS E DA TERRA,Logistic Regression,0.6332354175409148,0.8054522411001441,0.6332354175409148,0.6724338642869487
CienciasHumanas_logistic_regression_comp.pkl,CIENCIAS HUMANAS,Logistic Regression,0.6361950185479597,0.7692338603196758,0.6361950185479597,0.6643254421784248
CienciasSociaisAplicadas_logistic_regression_comp.pkl,CIENCIAS SOCIAIS APLICADAS,Logistic Regression,0.6706192358366272,0.864419839934242,0.6706192358366272,0.7240869607453194
Engenharias_logistic_regression_comp.pkl,ENGENHARIAS,Logistic Regression,0.5925295048059375,0.7798278453440841,0.5925295048059375,0.6411028247931705
